id_product;active;Name;"Categories (x,y,z...)";"Price tax excluded or Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";Unity;"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";image_url;image_url2;"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";Cond;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock";ID;"Action when out of stock";"Depends on stock";Warehouse
23;0;"Leche en polvo completa, presentacion 500g";"Alimentos,Home,Lacteos,Leche en Polvo,Víveres";0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.500000;1000;1;both;0.000000;;0.000000;;;;;;;leche-en-polvo-completa-presentacion-500g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/3/23.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
24;0;"Leche en polvo completa, presentacion 900g";"Alimentos,Home,Lacteos,Leche en Polvo,Víveres";0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.900000;1000;1;both;0.000000;;0.000000;;;;;;;leche-en-polvo-completa-presentacion-900g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/4/24.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
25;0;"lentejas, presentacion de 400g";Víveres;0.000000;0;0.000000;0;;;;;AG0010;;;;;;0.000000;0.000000;0.000000;0.000000;0.400000;1000;1;both;0.000000;;0.000000;;;;;;;lentejas-presentacion-de-400g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/5/25.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
26;1;"Mantequilla, presentacion de 1Kg.";Alimentos,Víveres;89.480000;0;0.000000;0;;;;;AV0060;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;991;1;both;0.000000;;0.000000;;;;;;;mantequilla-presentacion-de-1kg;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/6/26.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
27;1;"Mantequilla, presentacion de 250g";Alimentos,Víveres;48.070000;0;0.000000;0;;;;;AV0059;;;;;;0.000000;0.000000;0.000000;0.000000;0.250000;997;1;both;0.000000;;0.000000;;;;;;;mantequilla-presentacion-de-250g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/7/27.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
28;1;"Mantequilla, presentacion de 250g";Alimentos,Víveres;38.600000;0;0.000000;0;;;;;AV0058;;;;;;0.000000;0.000000;0.000000;0.000000;0.250000;1000;1;both;0.000000;;0.000000;;;;;;;mantequilla-presentacion-de-250g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/8/28.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
29;1;"Mantequilla, presentacion de 500g";Alimentos,Víveres;80.010000;0;0.000000;0;;;;;AV0057;;;;;;0.000000;0.000000;0.000000;0.000000;0.500000;996;1;both;0.000000;;0.000000;;;;;;;mantequilla-presentacion-de-500g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/9/29.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
30;0;"Margarina ligera, presentacion de 500g";Alimentos,Víveres;0.000000;0;0.000000;0;;;;;AV0056;;;;;;0.000000;0.000000;0.000000;0.000000;0.500000;1000;1;both;0.000000;;0.000000;;;;;;;margarina-ligera-presentacion-de-500g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/3/0/30.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
31;1;"Mayonesa, presentacion 175g";Alimentos,Salsas,Víveres;63.160000;0;0.000000;0;;;;;AS0013;;;;;;0.000000;0.000000;0.000000;0.000000;0.175000;1000;1;both;0.000000;;0.000000;;;;;;;mayonesa-presentacion-175g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/3/1/31.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
32;1;"Mayonesa, presentacion 175g";Alimentos,Salsas,Víveres;64.920000;0;0.000000;0;;;;;AS0012;;;;;;0.000000;0.000000;0.000000;0.000000;0.175000;998;1;both;0.000000;;0.000000;;;;;;;mayonesa-presentacion-175g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/3/2/32.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
