"ID";"PRODUCTO";"Activo";"Precio sin tax";"URL imagen";"Cantidad";"Categorias"
"566";"SALSA OSOLE MEDITER 340G";"1";"49.2027456";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111251.JPG";"10000";"2,3,12,125"
"567";"SALSA OSOLE NAPOLI 340";"1";"45.5674912";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111445.JPG";"10000";"2,3,12,125"
"568";"SALSA OSOLE PIZZA 340G";"1";"45.5674912";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111321.JPG";"10000";"2,3,12,125"
"569";"SALSA OSOLE PUTANESCA 340G";"1";"49.2027456";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111155.JPG";"10000";"2,3,12,125"
"570";"SALSA OSOLE VODKA 340G";"1";"49.2027456";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111428.JPG";"10000";"2,3,12,125"
"571";"SALSA P/PASTA BOLOG HEINZ 495G";"1";"123.8945424";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_110601.JPG";"10000";"2,3,12,125"
"572";"SALSA PRIMAVERA NATURALIST 500G";"1";"54.6556272";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_110544.JPG";"10000";"2,3,12,125"
"573";"SALSA SOYA COMA 150ML";"1";"20.0361696";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_114213.JPG";"10000";"2,3,12,125"
"574";"SALSA SOYA COMA 300ML";"1";"27.3489488";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_114155.JPG";"10000";"2,3,12,125"
"575";"SALSA SOYA MC CORMICK 150ML";"1";"63.7860336";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_122428.JPG";"10000";"2,3,12,125"
"576";"SALSA TOMATE OLE TRADICIONAL";"1";"47.37243728";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_120640.JPG";"10000";"2,3,12,125"
"577";"SERVILLETA ZZ PEQ DISP 160 HOJAS";"1";"36.4370848";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_133924.JPG";"10000";"2"
"578";"SERVILLETAS STYLO 150P";"1";"32.8018304";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_133804.JPG";"10000";"2"
"579";"TOALLIN DON TOALLIN MULT 50H";"1";"30.9842032";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131629.JPG";"10000";"2"
"580";"TOMATE PELADO ADDAS 500G";"1";"91.10116608";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_110454.JPG";"10000";"2,3,12,119"
"581";"VEGETALES MIXTOS AREL 400GR";"1";"76.52210512";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130513.JPG";"10000";"2,3,12,119"
