"ID";"PRODUCTO";"Activo";"Precio sin tax";"URL imagen";"Cantidad";"Categorias"
"327";"COLADO NATULAC PERA 113G";"1";"30.8376952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104223.png";"10000";"2,3,12"
"328";"COLADO NATULAC PERA 186G";"1";"34.6572272";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104246.png";"10000";"2,3,12"
"329";"COLADO OSOLE CIRUELA 100GR";"1";"20.7862952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104550.png";"10000";"2,3,12"
"330";"COLADO OSOLE DURAZNO 100GR";"1";"20.7862952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104616.png";"10000";"2,3,12"
"331";"COLADO OSOLE FRU MIX 100GR";"1";"20.7862952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104727.png";"10000";"2,3,12"
"332";"COLADO OSOLE MANZANA 100";"1";"20.7862952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104522.png";"10000";"2,3,12"
"333";"COLADO OSOLE PERA 100G";"1";"20.7862952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104703.png";"10000";"2,3,12"
"334";"CREMA LECHE DI FIORE 170G";"1";"34.6572272";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_105331.png";"10000";"2,3,12,123"
"335";"CREMA LECHE KALDINI 170G";"1";"34.6572272";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_105446.png";"10000";"2,3,12,123"
"336";"DESINF MISTOLIN AIR NAV PIN ES";"1";"51.9858408";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_115800.png";"10000";"2,3,12,"
"337";"DESINF MISTOLIN AROMATIZANTE NARANJA";"1";"51.9858408";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_115734.png";"10000";"2.5"
"338";"DESINF TITAN FLORAL 1L";"1";"38.12697048";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_120407.png";"10000";"2.5"
"339";"DESINF TITAN FRESA 1L";"1";"39.8437496";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_120535.png";"10000";"2.5"
"340";"DESINF TITAN PINO 1L";"1";"38.1149088";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_120450.png";"10000";"2.5"
"341";"Diablitos Under Wood 100 Gr";"1";"74.5009768";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_121754.png";"10000";"2,3,12,119"
"342";"Diablitos Under Wood 50G";"1";"43.3416368";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_121611.png";"10000";"2,3,12,119"
"343";"HARINA TRIGO MARY T USO 900G";"1";"41.592";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_111035.png";"10000";"2,3,12,113"
"344";"JABON DOVE ORIGINAL 90GR";"1";"41.5926932";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_122917.png";"10000";"2.5"
"345";"JABON REXONA ANTIBAC AVENA 3X1";"1";"77.998864";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_122951.png";"10000";"2.5"
"346";"LECHE LIQ COMP SAN SIMON 1L";"1";"55.456";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_123936.png";"10000";"2,3,12,123"
"347";"LECHE POLVO LUMALAC 1 KILO";"1";"254.751";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_114456.png";"10000";"2,3,12,123"
"348";"LECHE POLVO SAN SIMON 900GR";"1";"259.95";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_114216.png";"10000";"2,3,12,123"
"349";"LENTEJA GABI 400GR";"1";"38.126";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_120809.png";"10000";"2,3,12,123"
"350";"MAIZINA AMERICANA 120G";"1";"41.5725904";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_123913.png";"10000";"2,3,12"
"351";"MANTECA MISERICORDIA 400GR";"1";"67.5856136";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_111800.png";"10000";"2,3,12"
"352";"MANTEQ LA DELICIA 250GR";"1";"34.66";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_111506.png";"10000";"2,3,12"
"353";"MANTEQ LA DELICIA 500GR";"1";"53.723";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_111530.png";"10000";"2,3,12"
"354";"MARGA LA MISERICORDIA 227GR";"1";"34.66";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_111823.png";"10000";"2,3,12"
"355";"MARGA LA MISERICORDIA 454GR";"1";"64.121";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_111708.png";"10000";"2,3,12"
"356";"MAYONESA 100 X100TO 175G";"1";"41.592";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_112239.png";"10000";"2,3,12"
"357";"MAYONESA KALDINI 445GR";"1";"86.65";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_112256.png";"10000";"2,3,12"
"358";"MAYONESA MAVESA ADER 3.6KG";"1";"918.496932";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_124604.png";"10000";"2,3,12"
"359";"MAYONESA MISERICORDIA 175G";"1";"43.325";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_112448.png";"10000";"2,3,12"
"360";"MAYONESA MISERICORDIA 445GR";"1";"81.451";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_112314.png";"10000";"2,3,12"
