"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
91;https://inversionesrpz.com/117/pepsi-15-lts.jpg;"Pepsi 1,5 Lts.";;Bebidas;10.000000;10;5000;0
92;https://inversionesrpz.com/92/pepsi-1-lts.jpg;"Pepsi 1 Lts.";;Inicio;13.000000;13;5000;0
93;https://inversionesrpz.com/93/glup-cola-1-lts.jpg;"Glup Cola 1 Lts.";;Inicio;14.000000;14;5000;0
94;https://inversionesrpz.com/94/glup-cola-2-lts.jpg;"Glup Cola 2 Lts.";;Inicio;14.000000;14;5000;0
95;https://inversionesrpz.com/95/gatorade.jpg;Gatorade;;Bebidas;9.000000;9;4999;0
96;https://inversionesrpz.com/116/jabon-en-polvo-ace-1-kg.jpg;"Jabón en polvo ACE 1 Kg.";H00011;Higiene;10.000000;10;4999;0
97;https://inversionesrpz.com/115/lavaplatos-kris.jpg;"Lavaplatos Kris";H00010;Higiene;10.000000;10;5000;0
98;https://inversionesrpz.com/114/cloro-kris-1-lts.jpg;"Cloro Kris 1 Lts.";H00009;Higiene;12.990000;12.99;5000;0
99;https://inversionesrpz.com/113/cloro-kris-38-lts.jpg;"Cloro Kris 3.8 Lts.";H00008;Higiene;14.000000;14;5000;0
100;https://inversionesrpz.com/112/jabon-azul-panela-las-llaves.jpg;"Jabon Azul Panela Las Llaves";H00007;Higiene;11.000000;11;4999;0
101;https://inversionesrpz.com/111/toallas-sanitarias-alive.jpg;"Toallas Sanitarias Alive";H00006;Higiene;9.000000;9;5000;0
102;https://inversionesrpz.com/133/afeitadora-maturbe.jpg;"Afeitadora Maturbe";H00005;Higiene;10.000000;10;5000;0
103;https://inversionesrpz.com/110/papel-higienico-lucianos.jpg;"Papel Higienico Lucianos Morado";H00004;Higiene;8.490000;8.49;5000;0
104;https://inversionesrpz.com/109/desodorante-lady-speed-stick.jpg;"Desodorante Lady Speed Stick";H00003;Higiene;13.000000;13;5000;0
105;https://inversionesrpz.com/108/jabon-lux.jpg;"Jabon Lux";H00002;Higiene;10.000000;10;5000;0
