Product ID;Nombre;35.91;estado
260;Lentejas Pantera 454 Gr.;54.97;1
259;Leche En Polvo Dobon 400 Gr.;0.00;0
258;Jabon Las Llaves Fragancia Bebe 160 Gr.;42.75;1
257;Jabon Azul Las Llaves 200 Gr.;42.16;1
256;Jabon Azul Las Llaves 250 Gr.;45.60;1
255;Guisantes En Vidro ole 190 Gr;0.00;0
254;Guisantes En Lata Pafia 400 Gr.;0.00;0
253;Esponjas Doble Uso 868;15.31;1
252;Desifectante Nivex Surtido 1 Lt;0.00;0
251;Desifectante Mistolin 828 Ml.;56.78;1
250;Crema Arroz Primor Bolsa 450 Gr.;0.00;0
249;Crema Dental Colgate Menta 75 Ml;72.18;1
248;Crema Dental Colgate Menta 100 Ml;74.06;1
247;Crema Dental Colgate Kids 50 Ml;40.64;1
246;Cloro Tapa Amarilla 1 Lt;32.69;1
245;Cloro Nevex  ultra 1 Lt;0.00;0
244;Cloro Nevex 1 Lt;0.00;0
243;Cloro King 1 Lt;0.00;0
242;Cafe molido Montaña 200 Gr.;65.71;1
241;Cafe molido Montaña 100 Gr.;33.04;1
240;Toddy 2kg.;0.00;0
239;Toddy de bolsa 1kg;417.44;1
238;Toddy 400gr;199.60;1
237;Toddy 200gr;113.18;1
236;Rikesa Tocineta 300gr;0.00;0
235;Rikesa Cheedar 200gr;116.05;1
234;Dalvito 300gr;170.59;1
233;Dalvito 200gr;104.36;1
232;Sardina Tomate Marbonita 170 Gr.;18.07;1
231;Pasta de Tomate COMA 3.850kg;567.73;1
230;Pasta de Tomate COMA 500gr;155.13;1
229;Pasta de Tomate COMA 200gr;42.87;1
228;Pasticho Sindoni 250gr;0.00;0
227;Pasticho Ronco 250gr;50.99;1
226;Refresco Glup 1L;0.00;0
225;Refresco Glup 2L;0.00;0
224;Refresco  Pepsi 1.5L;0.00;0
223;Refresco Pepsi 2L;0.00;0
222;Refresco Coca Cola 2L;0.00;0
221;Gatorade 500ml;0.00;0
220;Refresco Coca Cola 1L;0.00;0
219;Sardina Picante Margarita 170 Gr.;0.00;0
218;Refresco Coca Cola 1.5L;0.00;0
217;Margarina La Excelencia 15kg;0.00;0
216;TEA 327 COLLAR PERRO MEDIANO;536.25;1
215;Margarina Chef Sin Sal;0.00;0
214;Margarina Deline 250gr;39.41;1
