Product ID;Image;Name;Description;Brand;Reference;Category;Price (tax excl.);Price (tax incl.);Quantity;Status;Position
;https://inversionesrpz.com/imagenes/pollo-pechugaconhueso.jpg;Pechuga de pollo con hueso;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-picadillo.jpg;Picadillo de pollo;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/punta-trasera.jpg;Punta trasera;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/res-costilla.jpg;Costilla de res;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/res-lomito.jpg;Lomito de res;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/solomo.jpg;Solomo de res;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/cocacola-2l.jpg;Coca Cola 2 Lts.;Bebida gaseosa, presentacion 2l;Coca Cola;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/cocacola-1.5l.jpg;Coca Cola 1,5 Lts.;Bebida gaseosa, presentacion 1.5l;Coca Cola;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/cocacola-1l.jpg;Coca Cola 1 Lts.;Bebida gaseosa, presentacion 1l;Coca Cola;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/pepsi-2l.jpeg;Pepsi 2 Lts.;Bebida gaseosa, presentacion 2l;Pepsi;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/pepsi-1.5l.jpeg;Pepsi 1,5 Lts.;Bebida gaseosa, presentacion 1.5l;Pepsi;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/pepsi-1l.jpeg;Pepsi 1 Lts.;Bebida gaseosa, presentacion 1l;Pepsi;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/Glup-1l.jpg;Glup Cola 1 Lts.;Bebida gaseosa, presentacion 2l;Glup;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/Glup-2l.jpeg;Glup Cola 2 Lts.;Bebida gaseosa, presentacion 1l;Glup;;Bebidas;;;;;
;https://inversionesrpz.com/imagenes/gatorade-500ml.jpeg;Gatorade;Bebida isotonica para hidratar, presentacion 500ml;Gatorade;;Bebidas;;;;;
