Product ID;Nombre;Precio (imp, incl,);Estado
116;Harina de Maiz Blanca Kaly 1Kg;26,75;1
115;Harina de Maiz Blanca Juana 1Kg;0;0
114;harina de maiz blanca pan 1kg;33,3;1
109;Combo Quincenal;0;0
107;Bulto de Harina de maÃ­z Pan amarilla 1 Kg;0;0
106;Crema Dental Colgate Plax;29,57;1
105;Jabon Lux;0;0
104;Desodorante Lady Speed Stick;0;0
103;Papel Higienico Lucianos Morado;22,81;1
102;Afeitadora Maturbe;0;0
101;Toallas Sanitarias Alive;0;0
100;Jabon Azul Panela Las Llaves 250g.;0;0
99;Cloro Kris 3.8 Lts.;29,29;1
98;Cloro Kris 1 Lts.;0;0
97;Lavaplatos Kris;0;0
96;JabÃ³n en polvo ACE 1 Kg.;0;0
95;Salsa Barbecue BBQ Fritz 290 Gr.;0;0
94;Lavaplatos Axion Crema 500 Gr.;113,2;1
93;Atun  Doña Magola 170 Gr.;0;0
92;Jabón En Polvo Alive Verde 1 kg.;49,85;1
91;Jabón En Polvo Alive Azul 1 Kg.;0;0
90;Jabón En Polvo Alive Verde 500gr.;0;0
89;Jabón En Polvo Alive Azul 500gr.;25,06;1
88;Ajax Liquido Multi Superficies 1 Lt.;116,02;1
87;Ajax Liquido Multi Superficies 500 Ml;67,02;1
86;Solomo de res;0;0
85;Lomito de res;0;0
84;Costilla de res;0;0
83;Punta trasera;0;0
82;Picadillo de Pollo 1kg;0;0
81;Pechuga de Pollo con Hueso 1kg;0;0
80;Patas de Pollo 1kg;0;0
79;Muslo de Pollo  1kg;0;0
78;Molleja de Pollo 1kg;0;0
77;Pollo Milanesa 1kg;0;0
76;Higado de Pollo 1kg;0;0
75;Pollo entero 1kg;70,41;1
74;Pollo churrasco;0;0
73;Pollo carapacho;0;0
72;Lagarto sin hueso;0;0
71;Lagarto con hueso;0;0
70;Hueso rojo;0;0
69;Pernil;149,24;1
68;Patas de cochino 1kg;45,06;1
67;Cochino costilla 1kg;183,05;1
66;Chuleton;126,73;1
65;Chuleta de cochino 1kg;126,73;1
64;Chuleta de res;0;0
63;Chuleta ahumada de cochino 1kg;0;0
62;Carne para desmechar de primera;0;0
61;Carne molida de primera;0;0
60;Carne para guisar de primera;0;0
59;Carne para bistek de primera;0;0
58;Salsa ketchup Pampero 198g;36,33;1
57;Salsa ketchup Pampero 397g;54,63;1
56;Salsa ketchup Heinz de 397g;0;0
55;Sal Refinada Ensal 1Kg.;0;0
54;Sal Refinada Celestial 1 kg.;8,44;1
47;Carne molida de primera;0;0
46;Carne para guisar de primera;0;0
45;Carne para bistek de primera;0;0
44;Azúcar Refinada Maite 900 Gr.;31,54;1
41;Café molido Amanecer 250 Gr.;0;0
40;Aceite Vegetal Vatel 1 Lt.;90,39;1
33;Mayonesa Mavesa 900gr;0;0
32;Mayonesa Mavesa 175gr;53,79;1
31;Mayonesa Kraft 175gr;52,38;1
30;Margarina Ligera Mavesa 500gr;0;0
29;Margarina Nelly 500gr;64,49;1
28;Margarina Nelly 250gr;31,82;1
27;Margarina Mavesa 250gr;39,7;1
26;Margarina Mavesa 500gr;72,37;1
25;lentejas, presentacion de 400g;0;0
24;Leche en polvo completa, presentacion 900g;0;0
23;Leche en polvo completa, presentacion 500g;0;0
22;Leche en polvo completa, presentacion 1Kg.g;0;0
21;Leche en polvo sin gluten, presentacion 200g;0;0
20;Harina de Trigo Leudante Mary 1Kg.;0;0
19;Harina de Trigo Leudante Dulce Mar 1Kg.;0;0
18;Caraotas Negras Mi Chacha 1Kg.;0;0
8;Azucar Refinada Maite  1Kg.;0;0
7;Azucar Refinada Doce Dia 1Kg.;0;0
4;Arroz Mary Tradicional 1Kg.;0;0
3;Arroz Agua Blanca 1Kg.;34,92;1
2;Arroz Santoni Excelente 1Kg.;0;0
1;Harina de Maiz Amarilla Pan 1Kg.;0;0
