Product ID;Imagen;Precio (imp. incl.)
103;https://inversionesrpz.com/110/papel-higienico-lucianos.jpg;8.49
104;https://inversionesrpz.com/109/desodorante-lady-speed-stick.jpg;0
105;https://inversionesrpz.com/108/jabon-lux.jpg;0
106;https://inversionesrpz.com/107/crama-dental-colgate-plax.jpg;16.48
107;https://inversionesrpz.com/135/bulto-de-harina-de-maiz-pan-amarilla-1-kg.jpg;0
109;https://inversionesrpz.com/137/combo-quincenal.jpg;29.58
114;https://inversionesrpz.com/138/harina-pan-blanca-1k.jpg;15.64
115;https://inversionesrpz.com/140/harina-de-maiz-blanca-juana-1kg.jpg;12.76
116;https://inversionesrpz.com/141/harina-de-maiz-blanca-kaly-1kg.jpg;13.91
117;https://inversionesrpz.com/142/harina-de-trigo-dulce-mar-leudante-1kg.jpg;16.8
