Product ID;Nombre;Precio (imp. excl.);Estado
165;Cafe molido Fama de America 100gr;24.66;1
164;Cafe molido Madrid 500gr;0.00;0
163;Cafe molido Madrid 250gr;60.19;1
161;Cafe molido Madrid 100gr;25.50;1
160;Cafe molido Flor de Arauca 250gr;0.00;0
159;Cafe molido Arauca 200gr;0.00;0
158;Cafe molido Arauca 100gr.;0.00;0
156;Cafe molido Amanecer 500gr;244.56;1
155;Cafe molido Amanecer 200gr;66.81;1
153;Cafe molido Amanecer 100gr;24.09;1
152;Cafe molido Brasil 500gr;0.00;0
150;Cafe molido Brasil 200gr;0.00;0
148;Cafe molido Brasil 100gr;0.00;0
147;Caraotas Negras Pantera  900gr;63.65;1
146;Caraotas Negras Pantera 454gr;32.40;1
144;Caraotas Rojas Venela 500gr;0.00;0
143;Caraotas Negras Venela 500gr;0.00;0
141;Azucar Refinada La Pastora 1Kg;0.00;0
140;Azucar Refinada Montalban 1Kg;37.84;1
139;Atun The King Of The Seas 170gr;41.28;1
137;Atun Margarita en Aceite 140gr;0.00;0
135;Arroz Mary Premium 1Kg;0.00;0
134;Arroz Mary Superior 1Kg;0.00;0
133;Avena en Hojuelas QUAKER 200gr;0.00;0
132;Avena en Hojuelas Pantera 800gr;56.19;1
131;Avena en Hojuelas Pantera 400gr;27.52;1
130;Avena en Hojuelas Don Pancho 400gr;45.87;1
129;Aceitunas Enteras Verdes Casa De Fruta 240gr;0.00;0
128;Aceitunas Casa De Fruta Rellenas 180gr;0.00;0
127;Aceite de Soya Vatel 500ml;45.30;1
126;Aceite de Soya Vatel 1L;86.58;1
124;Aceite de Soya Corcovado 900ml;0.00;0
123;Aceite de Soya Coamo  900ml;67.66;1
122;Aceite de Maiz  MAZEITE 1L;129.03;1
121;Harina de Trigo Ronco Leudante 1Kg;0.00;0
120;Harina de Trigo Ronco Todo Uso 1Kg;45.87;1
119;Harina de Trigo Doña Maria 1Kg;44.45;1
118;Harina de Trigo Dulce Mar Todo Uso 1Kg;0.00;0
117;Harina de Trigo Dulce Mar Leudante 1Kg;0.00;0
116;Harina de Maiz Blanca Kaly 1Kg;27.81;1
115;Harina de Maiz Blanca Juana 1Kg;0.00;0
114;harina de maiz blanca pan 1kg;33.26;1
109;Combo Quincenal;0.00;0
107;Bulto de Harina de maÃ­z Pan amarilla 1 Kg;0.00;0
106;Crema Dental Colgate Plax;30.11;1
105;Jabon Lux;0.00;0
104;Desodorante Lady Speed Stick;0.00;0
103;Papel Higienico Lucianos Morado;23.22;1
102;Afeitadora Maturbe;0.00;0
101;Toallas Sanitarias Alive;0.00;0
100;Jabon Azul Panela Las Llaves 250g.;0.00;0
99;Cloro Kris 3.8 Lts.;29.82;1
98;Cloro Kris 1 Lts.;0.00;0
97;Lavaplatos Kris;0.00;0
96;JabÃ³n en polvo ACE 1 Kg.;0.00;0
95;Salsa Barbecue BBQ Fritz 290 Gr.;0.00;0
94;Lavaplatos Axion Crema 500 Gr.;115.25;1
93;Atun  Doña Magola 170 Gr.;0.00;0
92;Jabón En Polvo Alive Verde 1 kg.;50.76;1
91;Jabón En Polvo Alive Azul 1 Kg.;0.00;0
90;Jabón En Polvo Alive Verde 500gr.;0.00;0
89;Jabón En Polvo Alive Azul 500gr.;25.50;1
88;Ajax Liquido Multi Superficies 1 Lt.;118.13;1
87;Ajax Liquido Multi Superficies 500 Ml;68.23;1
86;Solomo de res;0.00;0
85;Lomito de res;0.00;0
84;Costilla de res;0.00;0
83;Punta trasera;0.00;0
82;Picadillo de Pollo 1kg;0.00;0
81;Pechuga de Pollo con Hueso 1kg;0.00;0
80;Patas de Pollo 1kg;0.00;0
79;Muslo de Pollo  1kg;0.00;0
78;Molleja de Pollo 1kg;0.00;0
77;Pollo Milanesa 1kg;0.00;0
76;Higado de Pollo 1kg;0.00;0
75;Pollo entero 1kg;71.69;1
74;Pollo churrasco;0.00;0
73;Pollo carapacho;0.00;0
72;Lagarto sin hueso;0.00;0
71;Lagarto con hueso;0.00;0
70;Hueso rojo;0.00;0
69;Pernil;151.94;1
68;Patas de cochino 1kg;45.87;1
67;Cochino costilla 1kg;186.37;1
66;Chuleton;129.03;1
65;Chuleta de cochino 1kg;129.03;1
64;Chuleta de res;0.00;0
63;Chuleta ahumada de cochino 1kg;0.00;0
62;Carne para desmechar de primera;0.00;0
61;Carne molida de primera;0.00;0
60;Carne para guisar de primera;0.00;0
59;Carne para bistek de primera;0.00;0
58;Salsa ketchup Pampero 198g;36.98;1
57;Salsa ketchup Pampero 397g;55.62;1
56;Salsa ketchup Heinz de 397g;59.06;1
55;Sal Refinada Ensal 1Kg.;0.00;0
54;Sal Refinada Celestial 1 kg.;8.59;1
47;Carne molida de primera;0.00;0
46;Carne para guisar de primera;0.00;0
45;Carne para bistek de primera;0.00;0
44;Azúcar Refinada Maite 900 Gr.;32.12;1
41;Café molido Amanecer 250 Gr.;0.00;0
40;Aceite Vegetal Vatel 1 Lt.;92.03;1
33;Mayonesa Mavesa 900gr;0.00;0
