Product ID;Nombre;;
285;ARROZ PRIMOR CLASICO 1K;54.25;1
284;ARROZ MARY ESMERA 900G;50.17;1
283;ARROZ GRAN MARQUES 1K PR;41.61;1
282;ACEITE SOYA 900ML;74.65;1
281;ACEITE SALAD ESP 900ML;73.42;1
280;ACEITE PORTUMESA 700ML;64.45;1
276;Salsa Tartara Fritz 240 Gr.;95.04;1
262;Mayonesa Mavesa 445 Gr.;132.57;1
260;Lentejas Pantera 454 Gr.;47.72;1
239;Toddy de bolsa 1kg;407.91;1
238;Toddy 400gr;190.49;1
237;Toddy 200gr;105.24;1
235;Rikesa Cheedar 200gr;113.40;1
234;Dalvito 300gr;142.77;1
233;Dalvito 200gr;101.98;1
210;Mayonesa Kraft 445gr;122.37;1
194;Leche En Polvo La Campiña 900gr;360.18;1
192;Leche En Polvo Completa La Campestre 500gr;178.66;1
190;Leche En Polvo Completa La Campestre900gr;305.93;1
188;Lentejas Pantera 900gr;101.98;1
186;Lentejas Venela  500gr;43.24;1
168;Cafe molido Fama de America 500gr;156.23;1
167;Cafe molido Fama de America 250gr;95.04;1
165;Cafe molido Fama de America 100gr;30.18;1
164;Cafe molido Madrid 500gr;156.23;1
163;Cafe molido Madrid 250gr;78.32;1
159;Cafe molido Arauca 200gr;62.41;1
156;Cafe molido Amanecer 500gr;167.24;1
155;Cafe molido Amanecer 200gr;62.41;1
153;Cafe molido Amanecer 100gr;35.08;1
147;Caraotas Negras Pantera  900gr;79.95;1
146;Caraotas Negras Pantera 454gr;43.24;1
143;Caraotas Negras Venela 500gr;39.16;1
140;Azucar Refinada Montalban 1Kg;48.95;1
135;Arroz Mary Premium 1Kg;46.09;1
134;Arroz Mary Superior 1Kg;43.24;1
132;Avena en Hojuelas Pantera 800gr;74.65;1
131;Avena en Hojuelas Pantera 400gr;35.90;1
123;Aceite de Soya Coamo  900ml;81.58;1
122;Aceite de Maiz  MAZEITE 1L;135.83;1
116;Harina de Maiz Blanca Kaly 1Kg;27.74;1
114;harina de maiz blanca pan 1kg;40.79;1
95;Salsa Barbecue BBQ Fritz 290 Gr.;71.38;1
58;Salsa ketchup Pampero 198g;44.05;1
57;Salsa ketchup Pampero 397g;69.75;1
56;Salsa ketchup Heinz de 397g;73.01;1
42;PASTA CAPRI DEDAL 1KG;50.99;1
41;Café molido Amanecer 250 Gr.;108.91;1
32;Mayonesa Mavesa 175gr;64.45;1
31;Mayonesa Kraft 175gr;59.55;1
29;Margarina Nelly 500gr;79.95;1
28;Margarina Nelly 250gr;39.97;1
27;Margarina Mavesa 250gr;47.72;1
26;Margarina Mavesa 500gr;88.52;1
20;Harina de Trigo Leudante Mary 1Kg.;53.03;1
4;Arroz Mary Tradicional 1Kg.;44.05;1
3;Arroz Agua Blanca 1Kg.;43.24;1
