Product ID;Image;Name;Reference;Category;Price (tax excl.);Price (tax incl.);Quantity;Status;Position;
70;https://inversionesrpz.com/imagenes/res-costilla.jpg;Costilla de res;;Proteínas;11,00;0;5000;1;;
71;https://inversionesrpz.com/imagenes/res-lomito.jpg;Lomito de res;;Proteínas;15,00;0;5000;1;;
72;https://inversionesrpz.com/imagenes/solomo.jpg;Solomo de res;;Proteínas;13,00;0;5000;1;;
73;https://inversionesrpz.com/imagenes/cocacola-2l.jpg;Coca Cola 2 Lts.;;Bebidas;9,00;0;5000;1;;
74;https://inversionesrpz.com/imagenes/cocacola-1.5l.jpg;Coca Cola 1,5 Lts.;;Bebidas;13,00;0;5000;1;;
75;https://inversionesrpz.com/imagenes/cocacola-1l.jpg;Coca Cola 1 Lts.;;Bebidas;12,00;0;5000;1;;
76;https://inversionesrpz.com/imagenes/pepsi-2l.jpeg;Pepsi 2 Lts.;;Bebidas;9,00;0;5000;1;;
77;https://inversionesrpz.com/imagenes/pepsi-1.5l.jpeg;Pepsi 1,5 Lts.;;Bebidas;10,00;0;5000;1;;
78;https://inversionesrpz.com/imagenes/pepsi-1l.jpeg;Pepsi 1 Lts.;;Bebidas;14,00;0;5000;1;;
79;https://inversionesrpz.com/imagenes/glup-cola1l.jpg;Glup Cola 1 Lts.;;Bebidas;9,00;0;5000;1;;
80;https://inversionesrpz.com/imagenes/glup-cola2l.jpg;Glup Cola 2 Lts.;;Bebidas;12,00;0;5000;1;;
81;https://inversionesrpz.com/imagenes/gatorade-500ml.jpg;Gatorade;;Bebidas;10,00;0;5000;1;;
82;https://inversionesrpz.com/imágenes/jabon-ace-1kg.jpg;Jabón en polvo ACE 1 Kg.;;Higiene;10,00;0;5000;1;;
83;https://inversionesrpz.com/imágenes/lavaplato-kris-1l.jpg;Lavaplatos Kris;;Higiene;11,00;0;5000;1;;
84;https://inversionesrpz.com/imágenes/cloro-kris.jpg;Cloro Kris 1 Lts.;;Higiene;14,00;0;5000;1;;
85;https://inversionesrpz.com/imágenes/cloro-kris-galon.jpg;Cloro Kris 3.8 Lts.;;Higiene;10,00;0;5000;1;;
86;https://inversionesrpz.com/imágenes/panela-lasllaves.jpg;Jabon Azul Panela Las Llaves;;Higiene;11,00;0;5000;1;;
87;https://inversionesrpz.com/imágenes/toallas-sanitarias-alive.jpg;Toallas Sanitarias Alive;;Higiene;11,00;0;5000;1;;
88;https://inversionesrpz.com/imágenes/UNIDAD;Afeitadora Maturbe;;Higiene;9,00;0;5000;1;;
89;https://inversionesrpz.com/imágenes/papel-higienicoblancolucianos jpg;Papel Higienico Lucianos;;Higiene;10,00;0;5000;1;;
90;https://inversionesrpz.com/imágenes/desodorante-ladysppedstick-bolita.jpg;Desodorante Lady Speed Stick;;Higiene;13,00;0;5000;1;;
91;https://inversionesrpz.com/imágenes/jabon-lux.jpg;Jabon Lux;;Higiene;14,00;0;5000;1;;
92;https://inversionesrpz.com/imágenes/colgate-plax-100.jpg;Crama dental Colgate Plax;;Higiene;9,00;0;5000;1;;
